Thomas Kraft (Fußballspieler),托馬斯·克拉夫特
Anselm Kiefer,安塞尔姆·基弗
Renate Stecher,雷娜特·施特歇尔
Arno Penzias,阿诺·彭齐亚斯
Petra Behle,彼得拉·贝勒
Helga Haase,黑尔佳·哈泽
Astrid Kirchherr,阿斯特丽德·基尔赫
Christiane Fürst,克里斯蒂安·福斯特
Maria Franziska von Pfalz-Sulzbach,瑪麗亞·法蘭西絲卡·(普法爾茨-蘇爾茨巴赫)
Pauline von Württemberg (1877–1965),符騰堡的保琳·(1877年)
Armin Eichholz (Ruderer),阿明·艾希霍尔茨
Wolfgang Güldenpfennig,沃尔夫冈·居尔登普芬尼希
Simon Terodde,西蒙·特羅德
Luise von Brandenburg,布蘭登堡的路易絲·多蘿西亞
Patrick Groetzki,帕特里克·格勒茨基
Ansgar Wessling,安斯加尔·韦斯林
Willi Eichhorn,维利·艾希霍恩
Erich Zander (Hockeyspieler),埃里克·灿德尔
Peter Rock,彼得·罗克
Maxim Vengerov,马克西姆·文格洛夫
Dorothea (Preußen),丹麥的多蘿西亞·(1504-1547)
Dorothee Schneider,多萝特·施奈德
Arnd Peiffer,阿恩德·派弗
Dany Heatley,丹尼·希特利
Rudolf Warnholtz,蒂托·瓦恩霍尔茨
Jörg Schmidt (Kanute),约尔格·施密特
Herbert Hobein,赫伯特·霍拜因
Gerd Strantzen,格尔德·施特兰岑
Franz Roth,弗朗茨·罗特
Dorothea Charlotte von Brandenburg-Ansbach,多蘿西亞·夏洛特·(布蘭登堡-安斯巴赫)
Sabine Spitz,扎比内·施皮茨
Tabea Zimmermann,塔贝亚·齐默尔曼
Ralf Brudel,拉尔夫·布鲁德尔
Elfriede Kaun,埃尔弗丽德·考恩
Christina Lathan,克里斯蒂娜·拉坦
Fritz Stolze,弗里茨·施托尔策
Paul Klingenburg,保罗·克林根堡
Hans Schneider (Wasserballspieler),汉斯·施奈德
Ulrike Luise zu Solms-Braunfels,烏爾里克·路易絲·(索爾姆斯-布勞恩費爾斯)
Helmuth Schwenn,赫尔穆特·施文
Friedrich IV. (Liegnitz),腓特烈四世·(萊格尼察)
Michael Hammers,司马瀚
Matthias Volz,马蒂亚斯·福尔茨
Norbert Klaar,诺贝特·克拉尔
Konrad III. (Oels),康拉德三世·(奧萊希尼察)
Klaus Wöller,克劳斯·韦勒尔
Rüdiger Neitzel,吕迪格·奈策尔
Michael Paul (Handballspieler),米夏埃尔·保罗
Jürgen Plagemann,于尔根·普拉格曼
Marko Spittka,马尔科·施皮特卡
Siegfried Roch,西格弗里德·罗赫
Bert Trautmann,畢·圖曼
Theodor Thomsen,特奥多尔·汤姆森
Ralf Schulenberg,拉尔夫·舒伦贝格
Tim Wallburger,蒂姆·沃伯格
Robert Lechner (Radsportler),罗伯特·莱希纳
Anette Rückes,阿妮特·吕克斯
Silke Hörner,西尔克·赫纳
Peter Ernst II. von Mansfeld,恩斯特·冯·曼斯菲尔德
Heinrich XI. (Glogau),亨里克十一世·(格沃古夫)
Halina Herrmann,哈利娜·古雷茨卡
Elisabeth von Hessen (1539–1582),黑森的伊莉莎白·(1539年)
Reinhold Pommer,赖因霍尔德·波默
Rudi Kargus,鲁迪·卡尔古斯
Katrin Mattscherodt,卡特琳·马特舍罗特
Lisa Batiashvili,麗莎·巴蒂亞什維利
Sandra Völker,桑德拉·弗尔克尔
Christina von Sachsen (1505–1549),薩克森的克里斯蒂娜·(1505-1549)
Hedwig Jagiellonica (1513–1573),雅德薇加·雅蓋隆卡·(1513-1573)
Margarete von Brabant,布拉班特的瑪格麗特
Marie von Baden (1782–1808),巴登的瑪麗·(1782-1808)
Margarete von Bayern (1363–1423),巴伐利亞的瑪格麗特·(1363-1424)
Louise Sophie von Schleswig-Holstein-Sonderburg-Augustenburg,路易絲·索菲·(什勒斯維希-霍爾斯坦)
Angelika Noack,安格莉卡·诺亚克
Reiner Ganschow,赖纳·甘朔
Niclas Füllkrug,尼克拉斯·菲尔克鲁格
Henry Stöhr,亨利·施特尔
Thomas Happe,托马斯·哈佩
Toni Turek,托尼·图雷克
Sigmar Polke,西格瑪爾·波爾克
Willi Koslowski,维利·科斯洛夫斯基
Dirk Schrade,迪尔克·施拉德
Stefan Reinartz,斯特凡·賴納茨
Cenk Tosun,堅克·托松
Christopher Schindler,克里斯托弗·辛德勒
Ulrike Richter,乌尔丽克·里希特
Ludwig II. (Liegnitz),路德維克二世·(布熱格)
Maren Meinert,玛伦·迈纳特
Isabell Bachor,伊莎贝尔·巴霍尔
Gabriele Seyfert,加布丽埃莱·赛费特
Ulrike Bruns,乌尔丽克·布伦斯
Elisabeth Auguste von Pfalz-Sulzbach,伊莉莎白·奧古斯塔·(普法爾茨-蘇爾茨巴赫)
Margitta Pufe,玛尔吉塔·普费
Jeanette Biedermann,珍妮特·貝德曼
Alexander Merkel,亚历山大·默克尔
Silvius Leopold Weiss,西尔维厄斯·利奥波德·魏斯
Emil Orlik,埃米尔·奥尔利克
Luise Krüger (Leichtathletin),路易丝·克吕格尔
Heike Henkel,海克·亨克尔
Sigrun Krause,西格伦·克劳泽
Elsa Rendschmidt,埃尔莎·伦德施密特
Petra Thümer,彼得拉·蒂默
Dominik Kaiser (Fußballspieler),多米尼克·凯泽
Eric Knittel,埃里克·克尼特尔
Sina Schielke,妡娜·席爾克
Helga Erny,黑尔佳·克莱因
Heidi Mohr,海迪·莫尔
Ursula Knab,乌尔苏拉·克纳布
Pia Wunderlich,皮娅·文德利希
Ann Kathrin Linsenhoff,安-卡特琳·林森霍夫
Monika Zehrt,莫妮卡·策尔特
Karl Wilhelm (Nassau-Usingen),卡爾·威廉·(拿騷-烏辛根)
Nia Künzer,尼娅·金策尔
Liselott Linsenhoff,莉泽洛特·林森霍夫
Katrin Dörre-Heinig,卡特琳·德雷-海尼希
Elvira Possekel,埃尔薇拉·波塞克尔
Gunhild Hoffmeister,贡希尔德·霍夫迈斯特
Stefan Reuter,斯特凡·罗伊特
Jan-Peter Peckolt,扬-彼得·佩科尔特
Evelin Kaufer,埃费琳·考费尔
Jutta Kirst,尤塔·基斯特
Burglinde Pollak,布格琳德·波拉克
Sabine Baeß,扎比内·贝斯
Thomas Reineck,托马斯·赖内克
Volker Winkler (Radsportler),福尔克尔·温克勒
Maria von Sachsen-Weimar,薩克森-威瑪的瑪麗亞
"Alfredo Morales (Fußballspieler, 1990)",艾法度·摩拉利斯
Dagmar Käsling,达格玛·克斯林
Melitta Rühn,梅丽塔·吕恩
Renate Boy,雷娜特·博伊
Ingrid Lotz,英格丽德·洛茨
Stephanie Schiller,斯特凡妮·席勒
Walter Hofmann (Kanute),瓦尔特·霍夫曼
Ralph Gunesch,拉夫·根利殊
Amir Shapourzadeh,艾馬·沙普薩特
Rita Kühne,丽塔·屈内
Tim Sebastian (Fußballspieler),蒂姆·塞巴斯蒂安
Oliver Kegel,奥利弗·克格尔
Hans Mehlhorn,汉斯·梅尔霍恩
Adolf Wagner (Gewichtheber),阿道夫·瓦格纳·(举重运动员)
Ralf Sievers,拉尔夫·西弗斯
Peter Rost (Handballspieler),彼得·罗斯特
Karl-Heinz Menz,卡尔-海因茨·门茨
Martin Lawrence,馬汀·勞倫斯
Edgar Prib,埃德加·普里布
Barbara von Hessen,黑森的芭芭拉
Bruno Müller (Ruderer),布鲁诺·米勒
Thomas Flemming,托马斯·弗莱明
Ludwig Landen,路德维希·兰登
Josef Hauser (Wasserballspieler),约瑟夫·豪泽
Christina Heinich,克里斯蒂娜·海尼希
Doris Maletzki,多丽丝·马莱茨基
Bogislaw V.,波吉斯瓦夫五世
Jürgen Eschert,于尔根·埃舍特
Barbara Krug,芭芭拉·克鲁格·(田径运动员)
Paula Mollenhauer,葆拉·莫伦豪尔
Hans Nägle,汉斯·内格勒
Ingo Kindervater,英格·金德沃克
Helmuth Kahl,赫尔穆特·卡尔
Ernst Krebs (Sportler),恩斯特·克雷布斯
Hans-Jörg Bliesener,汉斯-约尔格·布利泽纳
Johannes van den Bergh,约翰内斯·范登贝格
Mathilde (Lothringen),德意志的瑪蒂爾德
Joachim Mattern,约阿希姆·马特恩
Mirl Buchner,安娜玛丽·布赫纳
Harald Konopka,哈拉尔德·科诺普卡
Ernst Casimir (Nassau-Weilburg),恩斯特·卡西米爾·(拿騷-威爾堡)
Juan Carlos Nevado,卡洛斯·内瓦多
Bärbel Struppert,贝贝尔·施特鲁佩特
Heike Schulte-Mattler,海克·舒尔特-马特勒
Monica Theodorescu,莫妮卡·特奥多雷斯库
Sarah Günther-Werlein,萨拉·金特-韦莱因
Brunhilde Hendrix,布伦希尔德·亨德里克斯
Dora Köring,多罗特娅·克林
Nadine Angerer,娜丁·安格勒
Kerstin Garefrekes,克斯廷·加雷弗雷克斯
Arne Jacobsen,阿纳·雅各布森
Horst Dröse,霍斯特·德勒泽
Gustav Schürger,古斯塔夫·许尔格
Heinrich V. (Bayern),亨利五世·(巴伐利亞)
Bogdan Wenta,波格丹·文塔
Hermann Schridde,赫尔曼·施里德
Gunar Kirchbach,古纳尔·基希巴赫
Barbara Henneberger,芭芭拉·亨内贝格尔
Gabi Zange,加比·灿格
Rosa Kellner,罗莎·克尔纳
Herbert Richter (Radsportler),赫伯特·里希特
Jürgen Schütze,于尔根·许策
Brigitte Rohde,布丽吉特·罗德
Dominik Kohr,多米尼克·科爾
Lotte Reiniger,洛特·赖尼格
Gabriele Löwe,加布丽埃莱·勒韦
Hans Plenk,汉斯·普伦克
Ortrun Enderlein,奥特伦·恩德莱因
Erich Hanisch,埃里克·哈尼施
Anton Winkler,安东·温克勒
Willi Horn,维利·霍恩
Zhenqi Barthel,孫禎琦
Zhi Gin Lam,林志堅·(足球員)
Meike Evers-Rölver,迈克·埃弗斯
Qianhong Gotsch,千红·戈奇
Michael Rösch,米夏埃尔·勒施
Thomas Schwab (Rennrodler),托马斯·施瓦布
Christian Clemens (Fußballspieler),克里斯蒂安·克萊門斯
Angelika Dünhaupt,安格莉卡·丁豪普特
Christa Schmuck,克里斯蒂娜·施穆克
Georg Strobl,格奥尔格·施特罗布尔
Ute Rührold,乌特·吕罗尔德
Anett Schuck,阿内特·舒克
Sophie Karoline von Brandenburg-Kulmbach,索菲·卡羅琳·(布蘭登堡-庫爾姆巴赫)
Hans Ziglarski,汉斯·齐格拉尔斯基
Amin Younes,阿明·尤尼斯
Stefan Henze (Kanute),斯特凡·亨策
Lucas Cranach der Ältere,老卢卡斯·克拉纳赫
Carl Lorenz (Radsportler),卡尔·洛伦茨
Ernst Ihbe,恩斯特·伊贝
Fritz Schäfer (Ringer),弗里茨·舍费尔·(摔跤运动员)
Uwe Heppner,乌韦·黑普纳
Rudolf Karsch,鲁道夫·卡尔施
Manuela Mucke,曼努埃拉·穆克
Maike Nollen,迈克·诺伦
Gabriele Kohlisch,加布丽埃莱·科利施
Kerstin Kielgaß,克斯廷·基尔加斯
Gabriele Hinzmann,加布丽埃莱·欣茨曼
Sabine John,扎比内·约翰
Kirsten Emmelmann,基尔斯滕·埃梅尔曼
Cerstin Schmidt,克丝廷·施密特
Ilse Geisler,伊尔莎·盖斯勒
Eleonore von Sachsen-Eisenach,艾蕾諾爾·厄德穆特·(薩克森-艾森納赫)
Elisabeth Demleitner,伊丽莎白·德姆莱特纳
Katrin Rutschow-Stomporowski,卡特琳·鲁乔-施通波罗夫斯基
Heike Warnicke,海克·瓦尔尼克
Johannes Mildbraed,约翰内斯·米尔德布雷德
Dietmar Mögenburg,迪特马尔·默根堡
Werner Peter,维尔纳·彼得
Maik Landsmann,迈克·兰茨曼
Bernd Hahn,贝恩德·哈恩
Sven Fischer,斯文·菲舍尔
Reinhard Libuda,莱因哈德·利布达
Karl-Heinz Irmer,卡尔-海因茨·伊默尔
Erdmann August von Brandenburg-Bayreuth,埃爾德曼·奧古斯特·(布蘭登堡-拜律特)
Elisabeth von Hessen-Kassel (1596–1625),黑森-卡塞爾的伊莉莎白·(1596年)
Birgit Treiber,比吉特·特赖贝尔
Gabriela Grillo,加布里埃拉·格里洛
Ina Kleber,伊娜·克勒贝尔
Carmela Schmidt,卡梅拉·施密特
Cornelia Polit,科尔内利娅·波利特
Astrid Strauß,阿斯特丽德·施特劳斯
Horst Hörnlein,霍斯特·赫恩莱因
Almuth Schult,阿尔穆特·舒尔特
Ulla Salzgeber,乌拉·扎尔茨格贝尔
Józef Szmidt,约瑟夫·施密特
Sophie Elisabeth zu Mecklenburg,梅克倫堡的伊莉莎白·索菲
Rolf Danneberg,罗尔夫·丹内贝格
Zlatan Alomerović,兹拉坦·阿洛梅羅維奇
Axel Bellinghausen,阿克塞爾·貝林豪森
Alex Meier,亞歷山大·邁爾
Scooter Barry,斯库特·巴里
Harald Jährling,哈拉尔德·耶尔林
Shpejtim Arifi,史比積謙·艾利費
Sebastian Maier,塞巴斯蒂安·迈尔
Juliana zu Stolberg,斯托爾貝格的朱麗安娜
Kerstin Köppen,克斯廷·克彭
Ilona Richter,伊洛娜·里希特
Marina Wilke,玛丽娜·维尔克
Ella Zeller-Constantinescu,埃拉·泽勒
Thietmar von Merseburg,蒂特玛
Tina Wunderlich,蒂娜·文德利希
Birte Weigang,比尔特·魏冈
Chris Löwe,克里斯·洛維
Anke Möhring,安克·默林
Petra Overzier,佩特拉·雷赫尔
Frank Uhlig,弗兰克·乌利希
Carsten Lichtlein,卡斯滕·利希特莱因
Vahid Hashemian,瓦希德·哈什米安
Martina Schröter,马丁娜·施勒特尔
Marie-Louise Dräger,玛丽-路易丝·德雷格尔
Kristina Mundt,克里斯蒂娜·蒙特
Karin Metze,卡琳·梅策
Erwin Sietas,埃尔温·西塔斯
Yves Mankel,伊夫·曼克尔
Steffen Zesner,斯特芬·策斯纳
Carl Röchling (Maler),卡爾·勒希林
Thomas Rudolph (Rennrodler),托马斯·鲁道夫
Mario Vrančić,馬里奧·弗蘭契奇
Roswitha Krause,罗斯维塔·克劳泽
Ralf Fährmann,拉爾夫·費爾曼·(足球運動員)
Eduard Uvíra,爱德华·乌维拉
Friedrich Ludwig (Nassau-Ottweiler),腓特烈·路德維希·(拿騷-奧特韋勒)
Anni Holdmann,安妮·霍尔德曼
Loris Karius,洛里斯·卡利奧斯
J. Cole,J·科尔
Mathias Jänisch,馬提亞斯·耶尼施
Annett Neumann,安妮特·诺伊曼
Sylvia Albrecht-Heckendorf,西尔维娅·阿尔布雷希特
Aris Kalaizis,阿里斯·卡莱泽
Paul Keres,保罗·凯列斯
Peter Niemeyer,彼得·尼邁爾
Linda Kisabaka,琳达·基萨巴卡
Konrad Kujau,康拉德·库尧
Ömer Toprak,厄梅爾·托普拉克
Hubert Houben (Leichtathlet),胡贝特·霍本
Sigfrid Karg-Elert,齐格弗里德·卡格-埃勒特
Marlies Rostock,马莉斯·罗斯托克
Uwe Hünemeier,烏韋·許內邁耶
Horst Koschka,霍斯特·科施卡
Anna-Maria Müller,安娜-玛丽亚·米勒
Joachim Meischner,约阿希姆·迈施纳
Ingo Spelly,英戈·施佩利
Ludwig IX. (Hessen-Darmstadt),路德維希九世
Franz Waxman,弗朗茨·沃克斯曼
Wilhelm Heinrich (Nassau-Usingen),威廉·海因里希·(拿騷-烏辛根)
Helmut Berthold,赫尔穆特·贝特霍尔德
Marc Oliver Kempf,马克-奥利弗·肯普夫
Frank Schmidt (Fußballtrainer),弗兰克·施密特·(足球员)
Wilhelm III. (Sachsen),威廉三世·(圖林根)
Oskar Gröning,奧斯卡·格勒寧
Felix Kroos,菲利克斯·克羅斯
Steffi Walter,施特菲·马丁
Johann Ernst (Nassau-Weilburg),約翰·恩斯特·(拿騷-威爾堡)
Christian Süß,克里斯蒂安·苏斯
Axel Tyll,阿克塞尔·蒂尔
Alwin Schockemöhle,阿尔温·朔克默勒
Leopold (Bayern),利奧波德四世·(奧地利)
Achim Reichel,阿希姆·萊切爾
Franz Kuhn (Sinologe),弗兰兹·库恩
Jacqueline Börner,雅克琳·伯尔纳
Sascha Riether,沙斯查·列達
Gustav Felix Flatow,古斯塔夫·弗拉托
Ulrich von Brockdorff-Rantzau,乌尔里希·冯·布罗克多夫-兰曹
Horst Meyer (Ruderer),霍斯特·迈尔
Uwe Schwenker,乌韦·施文克尔
Stephan Volkert,斯特凡·福尔克特
Sylvio Kroll,西尔维奥·克罗尔
Kurt Thomas (Komponist),庫特·湯瑪斯·(作曲家)
Moritz Stoppelkamp,莫里茨·施托佩爾坎普
Christiane Krause (Leichtathletin),克里斯蒂安娜·克劳泽
Ernst Reiter (Biathlet),恩斯特·赖特尔
Rudolf Arnheim,鲁道夫·阿恩海姆
Christine Laser,克里斯蒂娜·拉泽
Ludwig Kraft (Nassau-Saarbrücken),路德維希·克拉夫特·(拿騷-薩爾布魯根)
Werner Friese,维尔纳·弗里泽
Georg Anton Benda,格奥尔格·安东·本达
Hugo Riemann,胡戈·里曼
Rudolf Erich Raspe,鲁道尔夫·埃里希·拉斯伯
Emanuel Schikaneder,伊曼紐爾·席卡內德
Maria Reiche,瑪麗亞·賴歇
Fritz Busch,弗里茨·布施
Olaf Ludwig,奥拉夫·路德维希
Karl (Nassau-Usingen),卡爾·(拿騷-烏辛根親王)
Rudolf Lippert (Reiter),鲁道夫·利珀特
Walrad (Nassau-Usingen),瓦爾拉德·(拿騷-烏辛根親王)
Rudolph Minkowski,鲁道夫·闵可夫斯基
August Wilhelm von Preußen (1722–1758),普魯士的奧古斯特·威廉·(1722年)
Wolfgang Köhler (Psychologe),沃尔夫冈·苛勒
Ludwig VIII. (Hessen-Darmstadt),路德維希八世
Friedrich Christian (Brandenburg-Bayreuth),腓特烈·克里斯蒂安·(布蘭登堡-拜律特)
Friedrich Heinrich (Brandenburg-Schwedt),腓特烈·海因里希·(布蘭登堡-施韋特)
Adolph Knigge,阿道夫·科尼格
Andreas Bredau,安德烈亚斯·布雷道
Hans Bellmer,汉斯·贝尔默
Robert F. Wagner,罗伯特·费迪南德·瓦格纳一世
Ernst Lehner,恩斯特·莱纳
Yannick Lebherz,亞尼克·列赫兹
Andreas Dibowski,安德烈亚斯·迪博夫斯基
Kathleen Nord,卡特勒恩·诺德
Dzsenifer Marozsán,珍妮弗·毛罗然
Anke Behmer,安克·贝默
Ursula Happe,乌尔苏拉·哈佩
Günther Eger,金特·埃格尔
Fritz Thiedemann,弗里茨·蒂德曼
Gerhard Winkler (Biathlet),格哈德·温克勒
Ariane Hingst,阿里亚娜·兴斯特
Manuela Stellmach,曼努埃拉·施特尔马赫
Sarah Poewe,萨拉·珀韦
Jochen Bachfeld,约亨·巴赫费尔德
Günther Haase (Wasserspringer),金特·哈泽
Oliver Fix,奥利弗·菲克斯
Walter Pichler (Biathlet),瓦尔特·皮希勒
René Hannemann,勒内·汉内曼
Hans Estner,汉斯·埃斯特纳
Walter Steinbauer,瓦尔特·施泰因鲍尔
Ulf Hielscher,乌尔夫·希尔舍
Hans Schulze (Wasserballspieler),汉斯·舒尔策
Franz Bernreiter,弗朗茨·贝恩赖特
Friedrich Kuhn (Bobfahrer),弗里德里希·库恩
Edgar Basel,埃德加·巴泽尔
Wladimir Resnitschenko,弗拉基米尔·伊斯梅洛维奇·列兹尼琴科
Reinhard Eiben,赖因哈德·艾本
Philipp I. (Pommern),腓力一世·(波美拉尼亞)
Panagiotis Vlachodimos,帕納約蒂斯·弗拉霍迪莫斯
Johannes Herbert,约翰内斯·赫伯特
Hans-Joachim Reske,汉斯-约阿希姆·雷斯克
Nico Ihle,尼科·伊勒
Nadine Capellmann,娜丁·卡佩尔曼
Therese Zenz,特蕾泽·岑茨
Christa Kinshofer,克丽斯塔·金斯霍费尔
Hans-Georg Reimann,汉斯-格奥尔格·赖曼
Albrecht Haushofer,阿爾布雷希特·豪斯費爾
Karl (Sachsen-Meiningen),卡爾·威廉·(薩克森-邁寧根)
Karl Friedrich (Sachsen-Meiningen),卡爾·腓特烈·(薩克森-邁寧根)
Bruno Massot,布鲁诺·马索
Jan-Ingwer Callsen-Bracker,揚-英沃·卡爾森-布拉克
Konstantin (Hessen-Rotenburg),康斯坦丁·(黑森-羅滕堡)
Friedrich III. (Brandenburg-Bayreuth),腓特烈三世·(布蘭登堡-拜律特)
Rudolf Gramlich,鲁道夫·格拉姆利希
Bernd Klingner,比尔德·克林纳
Aleksander Cichoń,亚历山大·齐洪
"Matthias Müller (Fußballspieler, 1954)",马蒂亚斯·米勒·(足球运动员)
Bernd Olbricht,贝恩德·奥尔布里希特
Andreas Kunz (Nordischer Kombinierer),安德烈亚斯·孔茨
Friedrich III. (Liegnitz),腓特烈三世·(萊格尼察)
Heike Lätzsch,海克·莱奇
Detlef Richter,德特勒夫·里希特
Andreas Kupfer,安德烈亚斯·库普费尔
Friedrich Wilhelm (Hohenzollern-Hechingen),腓特烈·威廉·(霍亨索倫-黑興根)
Lothar Hause,洛塔尔·豪泽
Ellen Braumüller,埃伦·布劳米勒
Doris Fitschen,多丽丝·菲辰
Britta Oppelt,布丽塔·奥佩尔特
Günther Meier,金特·迈尔
Anke von Seck,安克·冯·泽克
Manfred Klein (Ruderer),曼弗雷德·克莱因
Kirill Garrijewitsch Petrenko,基里爾·佩特連科
Christian Schulz (Fußballspieler),克里斯蒂安·舒爾茨
Willi Neuberger,威利·纽贝格
Uwe Messerschmidt,乌韦·梅塞施密特
Philip Witte,菲利普·维特
Niklas Meinert,尼克拉斯·迈纳特
Florian Jungwirth,弗洛里安·容維爾特
Wolfgang Winkler (Rennrodler),沃尔夫冈·温克勒
Friedrich I. (Liegnitz),腓特烈一世·(萊格尼察)
Heinz Kaufmann (Ruderer),海因茨·考夫曼
Andreas Mollandin,安德烈亚斯·莫兰丁
Wilfried Soltau,维尔弗里德·佐尔陶
Wolfgang Lüth,沃夫岡·呂茨
Maxi Gnauck,玛克西·格瑙克
Siegrun Siegl,西格伦·西格尔
Karoline Luise von Hessen-Darmstadt,卡羅琳·路易絲·(黑森-達姆施塔特)
Yvonne Catterfeld,伊芳·卡特菲
Friedrich Karl August (Waldeck-Pyrmont),腓特烈·卡爾·奧古斯特
Jana Sorgers-Rau,雅娜·佐格斯
Johanna Lüttge,约翰娜·吕特格
Christa Stubnick,克丽斯塔·施图布尼克
Nadja Tiller,娜佳·蒂勒
Sandra Minnert,桑德拉·明纳特
Silvia Neid,西尔维娅·奈德
Herbert von Dirksen,赫伯特·馮·德克森
Philipp zu Eulenburg,奧伊倫堡親王菲利普
Anna Sophia von Hessen-Darmstadt,安娜·索菲亞·(黑森-達姆施塔特)
Magdalena von Brandenburg (1582–1616),布蘭登堡的瑪格達列娜
Steffi Jones,施特菲·约内斯
Udo Lattek,乌多·拉特克
Yusuf-Muri Adewunmi,尤素夫·阿迪温米
Bettina Wiegmann,贝蒂娜·维格曼
Birgit Peter (Ruderin),比吉特·彼得
Elfi Zinn,埃尔菲·齐恩
Rudolf Christian,魯道夫·克里斯蒂安·(東菲士蘭)
Jörg Stübner,约尔格·施蒂布纳
Katharina Molitor,卡塔琳娜·莫利托
Ruth Halbsguth,露特·哈尔布斯古特
Friederike von Württemberg,符騰堡的弗蕾德里克
Susanne Klatten,苏珊娜·克拉滕
Eckardt Suhl,埃卡特·祖尔
Stefan Gaisreiter,斯特凡·盖斯赖特
Christiane Huth,克里斯蒂安娜·胡特
Uta Rohländer,乌塔·罗伦德
Erich II. (Pommern),埃里克二世·(波美拉尼亞)
Lennart Thy,倫納特·蒂
Yvonne Bönisch,伊冯娜·伯尼施
Victor II. Amadeus von Ratibor,維克多二世·(拉蒂博爾)
Rolf Friedemann Pauls,罗尔夫·保尔斯
Michael Glöckner,米夏埃尔·格勒克纳
Patrick Kühl,帕特里克·屈尔
Fabian Rießle,法比安·里斯勒
