stefano cerioni,스테파노 체리오니,seutepano cerioni
reply,리플라이,ripeulrai
rocca maggiore,로카 마조레,roka majore
lorium,로리움,rorium
golden boy,골든 보이,goldeun boi
grenoli,그레노리,geurenori
compromesso storico,역사적 타협,yeogsajeog tahyeob
caenina,카이니나,kainina
ellesse,엘레쎄,elresse
pissalandrea,피살라디에르,pisalradiereu
nastro d'argento,나스트로 디아르젠토,naseuteuro diareujento
porto,포르투스,poreutuseu
società dante alighieri,단테 알리기에리 협회,dante alrigieri hyeobhoe
virtus entella,비르투스 엔텔라,bireutuseu entelra
salewa,살레와,salrewa
saipem,사이펨,saipem
archizoom associati,아르키좀 아소시아티,areukijom asosiati
loggia del bigallo,로자 델 비갈로,roja del bigalro
piazzale roma,로마 광장,roma gwangjang
schwarzberghorn,슈바르츠베르크호른,syubareuceubereukeuhoreun
irredentismo italiano,미회수된 이탈리아,mihoesudoen italria
caffè quadri,카페 콰드리,kape kwadeuri
punta della dogana,푼타 델라 도가나,punta delra dogana
museo ferrari,페라리 박물관,perari bagmulgwan
lacryma christi,라크리마 크리스티,rakeurima keuriseuti
italia nordoccidentale,이탈리아 북서부,italria bugseobu
derby del sole,데르비 델 솔레,dereubi del solre
domain hack,도메인 핵,domein haeg
cirio,치리오,cirio
church's,처치스,ceociseu
salviati,살비아티가,salbiatiga
dialetto valdostano,발도탱 방언,baldotaeng bangeon
casa buonarroti,카사 부오나로티,kasa buonaroti
coppia ferrarese,코피아 페라레세,kopia perarese
gruppo misto,혼합 단체,honhab dance
arpitania,아르피타니아,areupitania
vallo di diano,발로 디 디아노,balro di diano
nasone,나소네,nasone
kiton,키톤,kiton
marca d'istria,이스트리엔 변경,iseuteurien byeongyeong
museo stibbert,스티버트 박물관,seutibeoteu bagmulgwan
rainbow,레인보우,reinbou
lega italica,이탈리아 동맹,italria dongmaeng
loggia del pesce,로자 델 페셰,roja del pesye
marni,마르니,mareuni
brutti e buoni,브루티 마 부오니,beuruti ma buoni
cappella baroncelli,바론첼리 예배당,baroncelri yebaedang
conservatorio santa cecilia,산타 체칠리아 국립음악원,santa cecilria gugribeumagweon
ciauscolo,차우스콜로,causeukolro
federazione italiana taekwondo,이탈리아 태권도 연맹,italria taegweondo yeonmaeng
funivia stresaalpinomottarone,스트레사알피노모타로네 케이블카,seuteuresaalpinomotarone keibeulka
mazzanti automobili,마잔티 오토모빌리,majanti otomobilri
giardino bardini,바르디니 정원,bareudini jeongweon
ferrovia romagiardinetti,로마자르디네티 선,romajareudineti seon
lega nazionale dilettanti,레가 나치오날레 딜레탄티,rega nacionalre dilretanti
mercato centrale,메르카토 첸트랄레,mereukato centeuralre
palazzo antinori,안티노리 궁전,antinori gungjeon
palazzo patriarcale,파트리아르칼레 궁전,pateuriareukalre gungjeon
piazza santa trinita,산타 트리니타 광장,santa teurinita gwangjang
piazzale luigi cadorna,루이지 카도르나 광장,ruiji kadoreuna gwangjang
viadotto polcevera,모란디 교,morandi gyo
prosciutto toscano,토스카나 햄,toseukana haem
segno,세뇨,senyo
shin vision,신 비전,sin bijeon
alsium,알시움,alsium
italia settentrionale,이탈리아 북부,italria bugbu
transumanza,이목,imog
galleria dell'accademia,아카데미아 미술관,akademia misulgwan
riviera ligure,이탈리아 리비에라,italria ribiera
ostia,오스티아,oseutia
panini,파니니,panini
coreca,코레카,koreka
pombia safari park,폼비아 사파리 공원,pombia sapari gongweon
grandi città termali d'europa,유럽의 대 온천 마을,yureobyi dae onceon maeul
castello di lierna,리에 나 성,rie na seong
sinistra italiana,이탈리아 좌파,italria jwapa
alpago,알파고,alpago
scudetto,스쿠데토,seukudeto
doria,도리아가,doriaga
unipol domus,우니폴 도무스,unipol domuseu
viale beatrice d'este,비알레 베아트리체 데스테,bialre beateurice deseute
valle latina,라티나 계곡,ratina gyegog
air italy,에어 이탈리아,eeo italria
juventus next gen,유벤투스 넥스트 젠,yubentuseu negseuteu jen
extinction rebellion,멸종에의 반란,myeoljongeyi banran
italia viva,생동하는 이탈리아,saengdonghaneun italria
coraggio italia,용기 이탈리아,yonggi italria
incidente della funivia stresaalpinomottarone,스트레사알피노모타로네 케이블카 추락 사고,seuteuresaalpinomotarone keibeulka curag sago
federica brignone,페데리카 브리뇨네,pederika beurinyone
leonardo david,레오나르도 다비드,reonareudo dabideu
kristian ghedina,크리스티안 게디나,keuriseutian gedina
roberto risso,로베르토 리소,robereuto riso
augusto de luca,아우구스토 데 루카,auguseuto de ruka
camila giorgi,카밀라 조르지,kamilra joreuji
augusto genina,아우구스토 제니나,auguseuto jenina
sergio corbucci,세르지오 코르부치,sereujio koreubuci
maria rosa quario,마리아 로사 콰리오,maria rosa kwario
massimiliano blardone,마시밀리아노 블라르도네,masimilriano beulrareudone
davide simoncelli,다비데 시몬첼리,dabide simoncelri
elio petri,엘리오 페트리,elrio peteuri
ugo pirro,우고 피로,ugo piro
corrado pardini,코라도 파르디니,korado pareudini
diego abatantuono,디에고 아바탄투오노,diego abatantuono
massimo bertolini,마시모 베르톨리니,masimo bereutolrini
giacomo furia,자코모 푸리아,jakomo puria
luigi zampa,루이지 잠파,ruiji jampa
fabrizio donato,파브리치오 도나토,pabeuricio donato
leo ortolani,레오 오르톨라니,reo oreutolrani
giuseppe ermini,주세페 에르미니,jusepe ereumini
lucas piazón,루카스 피아손,rukaseu piason
joël retornaz,조엘 레토르나,joel retoreuna
cornelio sommaruga,코르넬리오 솜마루가,koreunelrio sommaruga
ferzan özpetek,페르잔 외즈페테크,pereujan oejeupetekeu
antonio pietrangeli,안토니오 피에트란젤리,antonio pieteuranjelri
markus lanz,마르쿠스 란츠,mareukuseu ranceu
luciano liggio,루차노 리조,rucano rijo
danilo gallinari,다닐로 갈리나리,danilro galrinari
mario soldati,마리오 솔다티,mario soldati
valerio arri,발레리오 아리,balrerio ari
milena gabanelli,밀레나 가바넬리,milrena gabanelri
renato schifani,레나토 스키파니,renato seukipani
desirée rancatore,데시레 랑카토레,desire rangkatore
daniele greco,다니엘레 그레코,danielre geureko
marco pannella,마르코 파넬라,mareuko panelra
assunta legnante,아순타 레냔테,asunta renyante
roberta vinci,로베르타 빈치,robereuta binci
giovanni mardersteig,조반니 마르더슈타이크,jobanni mareudeosyutaikeu
kid crème,키드 크렘,kideu keurem
pippo baudo,피포 바우도,pipo baudo
andrea riccardi,안드레아 리카르디,andeurea rikareudi
lola pagnani,롤라 파냐니,rolra panyani
edmond fischer,에드먼드 피셔,edeumeondeu pisyeo
margherita hack,마르게리타 해크,mareugerita haekeu
simone collio,시모네 콜리오,simone kolrio
annibale bergonzoli,안니발레 베르곤촐리,annibalre bereugoncolri
emma bonino,엠마 보니노,emma bonino
ilona staller,일로나 스탈레르,ilrona seutalrereu
anton malloth,안톤 말로트,anton malroteu
antonio gandusio,안토니오 간두시오,antonio gandusio
marco mariani,마르코 마리아니,mareuko mariani
gaetano martino,가에타노 마르티노,gaetano mareutino
kengiro azuma,아즈마 겐지로,ajeuma genjiro
gaetano monachello,가에타노 모나켈로,gaetano monakelro
matteo manassero,마테오 마나세로,mateo manasero
mauro bolognini,마우로 볼로니니,mauro bolronini
angelo branduardi,안젤로 브란두아르디,anjelro beuranduareudi
marco tronchetti provera,마르코 트론케티 프로베라,mareuko teuronketi peurobera
nives meroi,니베스 메로이,nibeseu meroi
elsa fornero,엘사 포르네로,elsa poreunero
nilde iotti,닐데 이오티,nilde ioti
carlo ludovico bragaglia,카를로 루도비코 브라가글리아,kareulro rudobiko beuragageulria
giorgio rocca,조르조 로카,joreujo roka
renato acanfora,레나토 아칸포라,renato akanpora
giordano bellincampi,조르다노 벨린캄피,joreudano belrinkampi
elvis abbruscato,엘비스 아브루스카토,elbiseu abeuruseukato
sabina panzanini,사비나 판차니니,sabina pancanini
carmen consoli,카르멘 콘솔리,kareumen konsolri
giuseppe piccioni,주세페 피치오니,jusepe picioni
raffaello caserta,라파엘로 카세르타,rapaelro kasereuta
beniamino abate,베니아미노 아바테,beniamino abate
roberto saviano,로베르토 사비아노,robereuto sabiano
margherita zalaffi,마르게리타 찰라피,mareugerita calrapi
paolo scaroni,파올로 스카로니,paolro seukaroni
achille campanile,아킬레 캄파닐레,akilre kampanilre
carlo scognamiglio,카를로 스코냐밀리오,kareulro seukonyamilrio
renzo montagnani,렌초 몬타냐니,renco montanyani
domenico pozzovivo,도메니코 포초비보,domeniko pocobibo
giuseppe accardi,주세페 아카르디,jusepe akareudi
gennaro righelli,젠나로 리겔리,jennaro rigelri
paolo tornaghi,파올로 토르나기,paolro toreunagi
tim parks,팀 파크스,tim pakeuseu
salvatore pappalardo,살바토레 파팔라르도,salbatore papalrareudo
giuseppe medici,주세페 메디치,jusepe medici
lorenzo patanè,로렌조 파탄,rorenjo patan
roberto calderoli,로베르토 칼데롤리,robereuto kalderolri
alvise zorzi,알비세 초르치,albise coreuci
giulio racah,줄리오 라카,julrio raka
carlo cercignani,카를로 체르치냐니,kareulro cereucinyani
luciano canfora,루차노 칸포라,rucano kanpora
leo nucci,레오 누치,reo nuci
luca coscioni,루카 코시오니,ruka kosioni
lara magoni,라라 마고니,rara magoni
éder,에데르,edereu
ardengo soffici,아드렌도 소피치,adeurendo sopici
ignazio silone,이냐치오 실로네,inyacio silrone
romina laurito,로미나 라우리토,romina raurito
giada de laurentiis,지아다 드 로렌티스,jiada deu rorentiseu
chiara lubich,끼아라 루빅,ggiara rubig
anselmo colzani,안셀모 콜차니,anselmo kolcani
nina morić,니나 모리치,nina morici
ugo riccarelli,우고 리카렐리,ugo rikarelri
erika blanc,에리카 블랑,erika beulrang
dan mitrione,댄 미트리오네,daen miteurione
aldo maccione,알도 마초네,aldo macone
mara zini,마라 치니,mara cini
francesco rutelli,프란체스코 루텔리,peuranceseuko rutelri
nunzio malasomma,눈치오 말라좀마,nuncio malrajomma
marcello baldi,마르첼로 발디,mareucelro baldi
mario sironi,마리오 시로니,mario sironi
lina pagliughi,리나 팔리우기,rina palriugi
barbara matera,바르바라 마테라,bareubara matera
benedetto pistrucci,베네데토 피스트루치,benedeto piseuteuruci
domenico morfeo,도메니코 모르페오,domeniko moreupeo
frank scalice,프랭크 스칼리체,peuraengkeu seukalrice
renato cioni,레나토 초니,renato coni
luigi ferrero,루이지 페레로,ruiji perero
katia zini,카티아 치니,katia cini
giuseppe valdengo,주세페 발덴고,jusepe baldengo
arturo brachetti,아르투로 브라케티,areuturo beuraketi
lella lombardi,렐라 롬바르디,relra rombareudi
baldovino dassù,발도비노 다수,baldobino dasu
carlo tagliabue,카를로 탈리아부에,kareulro talriabue
angelo rotta,안젤로 로타,anjelro rota
bruno cirillo,브루노 치릴로,beuruno cirilro
gianni bugno,잔니 부뇨,janni bunyo
antonella attili,안토넬라 아틸리,antonelra atilri
alessio puccio,알레시오 푸초,alresio puco
leda gloria,레다 글로리아,reda geulroria
silvio amadio,실비오 아마디오,silbio amadio
margherita parini,마르게리타 파리니,mareugerita parini
tullio crali,툴리오 크랄리,tulrio keuralri
tito schipa,티토 스키파,tito seukipa
lorenzo gagli,로렌초 갈리,rorenco galri
cristian moreni,크리스티안 모레니,keuriseutian moreni
massimo carlotto,마시모 카를로토,masimo kareulroto
ottavio bugatti,오타비오 부가티,otabio bugati
giorgia moll,조르자 몰,joreuja mol
giovanni spadolini,조반니 스파돌리니,jobanni seupadolrini
stefano borgonovo,스테파노 보르고노보,seutepano boreugonobo
dorothea wierer,도로테아 비러,dorotea bireo
arianna valcepina,아리안나 발체피나,arianna balcepina
rocco benetton,로코 베네톤,roko beneton
pietro nenni,피에트로 넨니,pieteuro nenni
cesare valletti,체사레 발레티,cesare balreti
luca ronconi,루카 론코니,ruka ronkoni
lucia valentini terrani,루차 발렌티니 테라니,ruca balrentini terani
nicholas musuraca,니콜라스 무수라카,nikolraseu musuraka
salvatore borgese,살바토레 보르게스,salbatore boreugeseu
giorgio orsoni,조르조 오르소니,joreujo oreusoni
ivo rudiferia,이보 루디페리아,ibo rudiperia
giovanni vastola,조반니 바스톨라,jobanni baseutolra
laura vernizzi,라우라 베르니치,raura bereunici
aurelio milani,아우렐리오 밀라니,aurelrio milrani
emilio vedova,에밀리오 베도바,emilrio bedoba
piero dorazio,피에로 도라치오,piero doracio
renata polverini,레나타 폴베리니,renata polberini
lidia ravera,리디아 라베라,ridia rabera
roberto formigoni,로베르토 포르미고니,robereuto poreumigoni
piero fassino,피에로 파시노,piero pasino
nunzio galantino,눈치오 갈란티노,nuncio galrantino
eligio vecchi,엘리조 베키,elrijo beki
antonio sbardella,안토니오 스바르델라,antonio seubareudelra
sebi tramontana,세비 트라몬타나,sebi teuramontana
ken laszlo,켄 라즐로,ken rajeulro
luca mezzano,루카 메차노,ruka mecano
mario bo,마리오 보,mario bo
attilio piccioni,아틸리오 피초니,atilrio piconi
giovanni spagnolli,조반니 스파뇰리,jobanni seupanyolri
daniela santanchè,다니엘라 산탄케,danielra santanke
filippo volandri,필리포 볼란드리,pilripo bolrandeuri
amadeus,아마데우스,amadeuseu
claudio burlando,클라우디오 부를란도,keulraudio bureulrando
flavio cipolla,플라비오 치폴라,peulrabio cipolra
cristiano bergodi,크리스티아노 베르고디,keuriseutiano bereugodi
ada pometti,아다 포메티,ada pometi
francesco musotto,프란체스코 무소토,peuranceseuko musoto
agostino casaroli,아고스티노 카사롤리,agoseutino kasarolri
roberto calasso,로베르토 칼라소,robereuto kalraso
daniele mannini,다니엘레 만니니,danielre mannini
fiore argento,피오레 아르젠토,piore areujento
renato birolli,레나토 비롤리,renato birolri
vincenzo crocitti,센조크 로치티,senjokeu rociti
cesare valinasso,체사레 발리나소,cesare balrinaso
pierluigi pairetto,피에를루이지 파이레토,piereulruiji paireto
alessandro benetton,알레산드로 베네톤,alresandeuro beneton
valerio scanu,발레리오 스카누,balrerio seukanu
gianni berengo gardin,잔니 베렝고 가르딘,janni berenggo gareudin
dario passoni,다리오 파소니,dario pasoni
ray lovelock,레이 러블록,rei reobeulrog
cecilia gasdia,체칠리아 가스디아,cecilria gaseudia
salvatore bagni,살바토레 바니,salbatore bani
rodolfo mondolfo,로돌포 몬돌포,rodolpo mondolpo
aldo righi,알도 리기,aldo rigi
giuseppe bonaviri,주세페 보나비리,jusepe bonabiri
tullio serafin,툴리오 세라핀,tulrio serapin
edoardo mangiarotti,에도아르도 만자로티,edoareudo manjaroti
giuseppe prisco,주세페 프리스코,jusepe peuriseuko
armando nannuzzi,아르만도 난누치,areumando nannuci
carlo dapporto,카를로 다포르토,kareulro daporeuto
stefano dacastello,스테파노 다카스텔로,seutepano dakaseutelro
achille castiglioni,아킬레 카스틸리오니,akilre kaseutilrioni
miguel angel virasoro,미겔 앙헬 비라로소,migel anghel biraroso
giulia sissa,줄리아 시사,julria sisa
elena sedina,엘레나 세디나,elrena sedina
carlo ratti,카를로 라티,kareulro rati
